doc_code	doc_title	item_count
asbj_accounting_standards	ASBJ 企業会計基準（現行）	253
asbj_implementation_guidance	ASBJ 適用指針（現行）	326
asbj_practical_solution	ASBJ 実務対応報告（現行）	151
asbj_completed_drafts	ASBJ 公開草案・過年度分（completed）	45
fsa_kigyou_toushin	金融庁 企業会計審議会（答申・報告書等）	514
fsa_kigyou_gijiroku	金融庁 企業会計審議会（議事録・会議資料）	1479
jicpa_practical_guidelines	JICPA 実務指針等公表物（実務指針）	198
jicpa_notification	JICPA 実務指針等公表物（お知らせ・公表物）	66
jicpa_research_report	JICPA 実務指針等公表物（研究報告）	570
jicpa_research_data	JICPA 実務指針等公表物（研究資料）	127
