doc_code	doc_title	item_count
hojin_aramashi_2025	法人税のあらましと申告の手引（令和7年版）	56
gensen_aramashi_2026	源泉徴収のあらまし（令和8年版）	62
gensen_shikata_2026	源泉徴収のしかた（令和8年版）	44
nencho_shikata_2025	年末調整のしかた（令和7年分）	135
hotei_tebiki_2025	法定調書の作成と提出の手引（令和7年分）	27
inshi_tebiki_2025	印紙税の手引（令和7年5月）	11
hojin_kaisei_gaiyo_2025	法人税関係法令の改正の概要（令和7年度）	15
hojin_shinkoku_besshyo	法人税及び地方法人税の申告（別表等）	5
etax_tetsuzuki6	e-Tax 利用可能手続一覧（法人税確定申告等）	3
hojin_shohi_kakikata_ippan	法人用 消費税及び地方消費税の申告書（一般用）の書き方	5
hojin_shohi_kakikata_kani	法人用 消費税及び地方消費税の申告書（簡易課税用）の書き方	4
invoice_oshirase_2025	インボイス制度に関するお知らせ（令和7年4月）	1
