file	section_id	section_title	footnote_no_start	footnote_no_end	fid_start	fid_end	record_count	token_count	part_index	part_total
packs/cfc-footnotes-01-pack-00.txt	cfc-footnotes-01	山崎論文	1	38	cfc-footnotes-01-fn0001	cfc-footnotes-01-fn0038	38	8880	1	3
packs/cfc-footnotes-01-pack-01.txt	cfc-footnotes-01	山崎論文	39	75	cfc-footnotes-01-fn0039	cfc-footnotes-01-fn0075	37	8908	2	3
packs/cfc-footnotes-01-pack-02.txt	cfc-footnotes-01	山崎論文	76	99	cfc-footnotes-01-fn0076	cfc-footnotes-01-fn0099	24	6315	3	3
packs/cfc-footnotes-02-pack-00.txt	cfc-footnotes-02	木山論文	1	34	cfc-footnotes-02-fn0001	cfc-footnotes-02-fn0034	34	8951	1	5
packs/cfc-footnotes-02-pack-01.txt	cfc-footnotes-02	木山論文	35	67	cfc-footnotes-02-fn0035	cfc-footnotes-02-fn0067	33	8685	2	5
packs/cfc-footnotes-02-pack-02.txt	cfc-footnotes-02	木山論文	68	98	cfc-footnotes-02-fn0068	cfc-footnotes-02-fn0098	31	8916	3	5
packs/cfc-footnotes-02-pack-03.txt	cfc-footnotes-02	木山論文	99	132	cfc-footnotes-02-fn0099	cfc-footnotes-02-fn0132	34	8743	4	5
packs/cfc-footnotes-02-pack-04.txt	cfc-footnotes-02	木山論文	133	150	cfc-footnotes-02-fn0133	cfc-footnotes-02-fn0150	18	6569	5	5
packs/cfc-footnotes-03-pack-00.txt	cfc-footnotes-03	石井論文	1	18	cfc-footnotes-03-fn0001	cfc-footnotes-03-fn0018	18	8532	1	7
packs/cfc-footnotes-03-pack-01.txt	cfc-footnotes-03	石井論文	19	38	cfc-footnotes-03-fn0019	cfc-footnotes-03-fn0038	20	8921	2	7
packs/cfc-footnotes-03-pack-02.txt	cfc-footnotes-03	石井論文	39	53	cfc-footnotes-03-fn0039	cfc-footnotes-03-fn0053	15	8273	3	7
packs/cfc-footnotes-03-pack-03.txt	cfc-footnotes-03	石井論文	54	73	cfc-footnotes-03-fn0054	cfc-footnotes-03-fn0073	20	8962	4	7
packs/cfc-footnotes-03-pack-04.txt	cfc-footnotes-03	石井論文	74	97	cfc-footnotes-03-fn0074	cfc-footnotes-03-fn0097	24	8556	5	7
packs/cfc-footnotes-03-pack-05.txt	cfc-footnotes-03	石井論文	98	116	cfc-footnotes-03-fn0098	cfc-footnotes-03-fn0116	19	8968	6	7
packs/cfc-footnotes-03-pack-06.txt	cfc-footnotes-03	石井論文	117	124	cfc-footnotes-03-fn0117	cfc-footnotes-03-fn0124	8	3244	7	7
packs/cfc-footnotes-04-pack-00.txt	cfc-footnotes-04	羽島論文	1	28	cfc-footnotes-04-fn0001	cfc-footnotes-04-fn0028	28	8861	1	5
packs/cfc-footnotes-04-pack-01.txt	cfc-footnotes-04	羽島論文	29	59	cfc-footnotes-04-fn0029	cfc-footnotes-04-fn0059	31	8679	2	5
packs/cfc-footnotes-04-pack-02.txt	cfc-footnotes-04	羽島論文	60	89	cfc-footnotes-04-fn0060	cfc-footnotes-04-fn0089	30	8857	3	5
packs/cfc-footnotes-04-pack-03.txt	cfc-footnotes-04	羽島論文	90	119	cfc-footnotes-04-fn0090	cfc-footnotes-04-fn0119	30	8846	4	5
packs/cfc-footnotes-04-pack-04.txt	cfc-footnotes-04	羽島論文	120	128	cfc-footnotes-04-fn0120	cfc-footnotes-04-fn0128	9	2538	5	5
packs/cfc-footnotes-05-pack-00.txt	cfc-footnotes-05	鍋谷論文	1	44	cfc-footnotes-05-fn0001	cfc-footnotes-05-fn0044	44	8826	1	4
packs/cfc-footnotes-05-pack-01.txt	cfc-footnotes-05	鍋谷論文	45	103	cfc-footnotes-05-fn0045	cfc-footnotes-05-fn0103	59	8955	2	4
packs/cfc-footnotes-05-pack-02.txt	cfc-footnotes-05	鍋谷論文	104	157	cfc-footnotes-05-fn0104	cfc-footnotes-05-fn0157	54	8988	3	4
packs/cfc-footnotes-05-pack-03.txt	cfc-footnotes-05	鍋谷論文	158	174	cfc-footnotes-05-fn0158	cfc-footnotes-05-fn0174	17	3684	4	4
