doc_code	item_id	title	snippet	text_url	enhanced_url
hojin_shohi_kakikata_ippan	s001-part-01	法人用 消費税及び地方消費税の申告書（一般用）の書き方 (part 1/5)	[page 1] 消費税及び地方消費税の 申告書（一般用）の書き方 税務署 ○ この「書き方」では、「消費税及び地方消費税の申告書（一般用）第一表」 及び「消費 税及び地方消費税の申告書第二表」と、これに添付する次の付表について、法人向け…	https://jplawdb.github.io/html-preview/ai-shohi-guide-db/text/hojin_shohi_kakikata_ippan/s001-part-01.txt	https://jplawdb.github.io/html-preview/ai-shohi-guide-db/enhanced/hojin_shohi_kakikata_ippan/s001-part-01.html
hojin_shohi_kakikata_ippan	s001-part-02	法人用 消費税及び地方消費税の申告書（一般用）の書き方 (part 2/5)	② 上記①の特定要件に該当するかどうかの判定の基礎となった他の者及び当該他の者と一定の特殊な関係に ある法人のうちいずれかの者の当該新規設立法人の当該事業年度の基準期間に相当する期間における課税売 上高が５億円を超えていること。 ※ 次の…	https://jplawdb.github.io/html-preview/ai-shohi-guide-db/text/hojin_shohi_kakikata_ippan/s001-part-02.txt	https://jplawdb.github.io/html-preview/ai-shohi-guide-db/enhanced/hojin_shohi_kakikata_ippan/s001-part-02.html
hojin_shohi_kakikata_ippan	s001-part-03	法人用 消費税及び地方消費税の申告書（一般用）の書き方 (part 3/5)	（注） 売上金額から売上対価の返還等の金額を直接減額する方法で経理している場合は、減額した後の金額を基に 課税資産の譲渡等の対価の額を計算します。 ■２ 「課税標準額①」欄 ■1で算出した課税資産の譲渡等の対価の額の千円未満の端数を切り捨…	https://jplawdb.github.io/html-preview/ai-shohi-guide-db/text/hojin_shohi_kakikata_ippan/s001-part-03.txt	https://jplawdb.github.io/html-preview/ai-shohi-guide-db/enhanced/hojin_shohi_kakikata_ippan/s001-part-03.html
hojin_shohi_kakikata_ippan	s001-part-04	法人用 消費税及び地方消費税の申告書（一般用）の書き方 (part 4/5)	控除不足還付税額 ⑧ 付表 1-3 ⑧欄の金額 差引税額 ⑨ 付表 1-3 ⑨欄の金額 課税 売上 割合 課税資産の譲渡等の対価の額 ⑮ 付表 2-3 ④欄の金額 資産の譲渡等の対価の額 ⑯ 付表 2-3 ⑦欄の金額 ⑴ 「中間納付税額⑩…	https://jplawdb.github.io/html-preview/ai-shohi-guide-db/text/hojin_shohi_kakikata_ippan/s001-part-04.txt	https://jplawdb.github.io/html-preview/ai-shohi-guide-db/enhanced/hojin_shohi_kakikata_ippan/s001-part-04.html
hojin_shohi_kakikata_ippan	s001-part-05	法人用 消費税及び地方消費税の申告書（一般用）の書き方 (part 5/5)	0円 税率7.8％適用分Ｂ 231,636,363円＋2,400,000円＝234,036,363円 ⇒ 234,036,000円（千円未満切捨て） 合計Ｃ 0円＋234,036,000円＝234,036,000円 ■４ …	https://jplawdb.github.io/html-preview/ai-shohi-guide-db/text/hojin_shohi_kakikata_ippan/s001-part-05.txt	https://jplawdb.github.io/html-preview/ai-shohi-guide-db/enhanced/hojin_shohi_kakikata_ippan/s001-part-05.html
hojin_shohi_kakikata_kani	s001-part-01	法人用 消費税及び地方消費税の申告書（簡易課税用）の書き方 (part 1/4)	[page 1] 消費税及び地方消費税の 申告書（簡易課税用）の書き方 税務署 ○ この「書き方」では、「消費税及び地方消費税の申告書（簡易課税用）第一表」及び「消 費税及び地方消費税の申告書第二表」と、これに添付する次の付表について、法…	https://jplawdb.github.io/html-preview/ai-shohi-guide-db/text/hojin_shohi_kakikata_kani/s001-part-01.txt	https://jplawdb.github.io/html-preview/ai-shohi-guide-db/enhanced/hojin_shohi_kakikata_kani/s001-part-01.html
hojin_shohi_kakikata_kani	s001-part-02	法人用 消費税及び地方消費税の申告書（簡易課税用）の書き方 (part 2/4)	インボイス制度とは、複数税率に対応した消費税の仕入税額控除の方式です。 インボイス制度の下では、買手は仕入税額控除の適用を受けるために、原則として、 「適格請求書 発行事業者」が交付するインボイス等の保存が必要となります。 売手がインボイ…	https://jplawdb.github.io/html-preview/ai-shohi-guide-db/text/hojin_shohi_kakikata_kani/s001-part-02.txt	https://jplawdb.github.io/html-preview/ai-shohi-guide-db/enhanced/hojin_shohi_kakikata_kani/s001-part-02.html
hojin_shohi_kakikata_kani	s001-part-03	法人用 消費税及び地方消費税の申告書（簡易課税用）の書き方 (part 3/4)	16,612,963円＋6,596,364円＝23,209,327円 （売上割合）＝ 第二種事業の課税売上高 ＝ 23,209,327円 ＝87.931…％≧75％課税売上高（合計額） 26,394,781円 ハ 「第四種事…	https://jplawdb.github.io/html-preview/ai-shohi-guide-db/text/hojin_shohi_kakikata_kani/s001-part-03.txt	https://jplawdb.github.io/html-preview/ai-shohi-guide-db/enhanced/hojin_shohi_kakikata_kani/s001-part-03.html
hojin_shohi_kakikata_kani	s001-part-04	法人用 消費税及び地方消費税の申告書（簡易課税用）の書き方 (part 4/4)	「改正法附則による税額の特例計算」欄には、売上げを税率の異なるごとに区分して合計す ることが困難な中小事業者が、軽減売上割合（ 10営業日）の特例（所得税法等の一部を改正す る法律 （平成28年法律第15号） 附則第38条第１項） を適用…	https://jplawdb.github.io/html-preview/ai-shohi-guide-db/text/hojin_shohi_kakikata_kani/s001-part-04.txt	https://jplawdb.github.io/html-preview/ai-shohi-guide-db/enhanced/hojin_shohi_kakikata_kani/s001-part-04.html
invoice_oshirase_2025	s001	インボイス制度に関するお知らせ（令和7年4月）	[page 1] 国税庁（法人番号 7000012050002） （令和７年10月） ※ 基準期間の課税売上高が1,000万円以下の場合も申告が必要です 自 宅 で e - T a x e-Taxを使うと自宅やオフィスから申告や申請･届出…	https://jplawdb.github.io/html-preview/ai-shohi-guide-db/text/invoice_oshirase_2025/s001.txt	https://jplawdb.github.io/html-preview/ai-shohi-guide-db/enhanced/invoice_oshirase_2025/s001.html
